Project Code,Project Title,Project Description,Faculty,Application URL,Project Mode
IP0BPV0000002,Implementing a Measurement Based Heat Engine on IBM Q-Processor,The aim of this project is to implement a proposal for a two-stroke measurement based quantum heat engine on the IBM Q-Processor. The theoretical proposal on which this implementation will be done is detailed in [1]. The student is expected to learn basic aspects of working with the IBM Q-Simulator and how to run jobs on the quantum processor in addition to the basic physics of measurement based heat engines.,B. Prasanna Venkatesh,Apply Here,In Person Mode
IP0BS0200002,Nanomaterial and 2D material synthesis for water filtration,"Material synthesis, absorbent development, filtration study",Biswajit Saha,Apply Here,In Person Mode
IP0BS0200003,Fabrication and analysis of Printed capacitor,"Material synthesis, capacitor development, performance study",Biswajit Saha,Apply Here,In Person Mode
IP0CA0000005,Asymmetric organocatalysis,,Chandrakumar Appayee,Apply Here,In Person Mode
IP0CKM0000006,Hydrodynamic interaction in three-dimensional colloidal fluids,"The project will build upon our recent work on hydrodynamic interactions in quasi-two-dimensional fluids (Barbhuiya, et. al., Nature Communications, 2023 )",Chandan Kumar Mishra,Apply Here,In Person Mode
IP0CKM0000007,Establishing protocols for performing optical microscopy experiments with E.coli,"E. coli has emerged as a compelling model system for investigating the physics of non-equilibrium systems, particularly active matter. We are excited to announce that we will be initiating experiments in this area during the upcoming summer. We are actively seeking motivated students who possess strong critical thinking skills and a passion for learning and growth within an experimental lab environment.",Chandan Kumar Mishra,Apply Here,In Person Mode
IP0CKM0000008,Instrumentation to build soft-lithography set up,"The project involves building the set-up for performing soft lithography experiments, starting from design to fabrication.",Chandan Kumar Mishra,Apply Here,In Person Mode
IP0CNP0000001,Developing a report on IITGN Campus Biodiversity,"The Dr Kiran C Patel Centre for Sustainable Development addresses the challenges of high societal importance, by promoting cost-effective and sustainable solutions. The Centre is inviting applications for two Summer Intern positions who will work independently as well as a team member to develop a coffee table book on IITGN Campus Biodiversity. A field study has been conducted in collaboration with the Gujarat Ecological Education and Research (GEER) Foundation, Gandhinagar.",CHHAVI NATH PANDEY,Apply Here,In Person Mode
,,,,,
,,"The task for which the help of interns is required comprises Developing a full report in English, with all the scientific names and creating a visually appealing coffee table book showcasing the biodiversity of the IITGN campus through photography, narratives, and ecological insights.",,,
IP0DS0000001,Local governance and public services,,Deepak Singhania,Apply Here,In Person Mode
IP0DSS0000007,Computational Modeling of Propulsive Performance of Rocket propellants,A CFD based model would need to be developed to study performance of propellants for broad range of conditions.,Dilip Srinivas Sundaram,Apply Here,In Person Mode
IP0GK0000008,Fluidic field effect transistor using 2D material-based nanochannels,"Handling small-volume fluidic samples, such as blood samples from a rare disease, requires extremely tiny spaces for their analysis. Nanochannels would be very useful in this case. However, manipulating fluids in this length scale is a very difficult task, which will be addressed in this project. Nanochannels of 2D materials will be synthesized using exfoliation and vacuum filtration methods. These nanochannels would be then electrically gated to manipulate the flow of molecules and ions, resulting in a fluidic field effect transistor. The project involves the synthesis of nanochannels, their characterization, device fabrication and the fluidic field effect measurement.",Gopinadhan Kalon,Apply Here,In Person Mode
IP0GK0000009,Halloysite nanotubes for efficient generation of electricity using Salinity gradient,"Due to a salinity gradient, large osmotic power exists at the interface of sea and river water. Utilizing this eco-friendly source would potentially solve the increasing demand for energy. This project utilizes Halloysite nanotubes to separate ions at the interface of sea and river water. Halloysite nanotubes with diameters of a few nanometers and lengths of microns need to be synthesized using a hydrothermal technique. Detailed characterization of the synthesized nanotube needs to be carried out. After this, a membrane consisting of nanotubes needs to be fabricated. A detailed study of nanoscale transport is to be carried out, supported by COMSOL simulations.",Gopinadhan Kalon,Apply Here,In Person Mode
IP0HG0000006,"Modeling, Control, and Optimization of Complex Process Systems","Process Modeling, Optimization and Control of complex process systems such as thermal mixing, CSTR with a cooling jacket, and wastewater treatment process. For more details, visit https://hariganesh.people.iitgn.ac.in/publications",Hari Ganesh,Apply Here,In Person Mode
IP0HPM0000006,Robots that learn on their own through physical interaction with the environment,"A Robot that learns through physical interactions with the environment: Humans can learn to adapt their grip and actions (sometime through repeated practice) to different properties of the object they are handling (such as flexible/rigid, slipper/rough, heavy/light, etc.) with no supervision or coaching. Our objective is to bring similar functionality to robots, and the robot learning to modulate its forces, and interaction dynamics on its own depending on the properties of the object it is physically interacting with.",Harish P M,Apply Here,In Person Mode
,,,,,
,,"This work involves a combination of learning algorithms (including use of AI/ML), robotics theory and mathematics, coding, and hardware implementation and testing. The successful candidate should be enthusiastic to learn various skills required for this project and work with the multidisciplinary groups in the IITGN Robotics lab . Prior experience with coding, and hardware projects will be an advantage.",,,
IP0HS0100001,Modelling the mechanical response of self-healing materials,"Self-healing materials can recover strength and stiffness upon damage through different healing mechanisms. These healing mechanisms in materials are either characteristic of certain materials (called intrinsic healing) or are artificially introduced (called extrinsic healing). Experimental investigations on self-healing polymers have been actively performed over the last few decades, and such polymers can find wide applications in biomedical, aerospace, automotive, and electronics industries. A promising computational approach to model these polymers is developing a stress-strain model to capture the damage and healing in these materials under different loading conditions. This project is focused on developing a damage-healing model that captures the mechanical response of such self-healing polymers. A damage parameter, which captures the degradation in the material, and a healing variable, which captures the recovery in the material, will be defined. The stress-strain response of the polymer under different loading conditions will be analyzed by integrating the damage-healing model in a finite element framework using MATLAB. The polymer will be modelled as a viscoelastic material, which exhibits both an elastic response like a solid and a time-dependent response like a fluid. The intern will have the opportunity to develop a damage-healing model for a self-healing polymer and learn and computationally implement the model in MATLAB.",Harini Subramanian,Apply Here,In Person Mode
IP0HS0100002,Computational modelling of fatigue damage in fibre-reinforced composites,"A composite material is formed by combining two or more materials with different physical properties. Fibre-reinforced composites have a matrix phase in which fibres are embedded as reinforcements. They find applications in aerospace, automotive, and renewable energy industries owing to their high strength-to-weight ratio, resistance to thermal expansion, and high stiffness-to-weight ratio. Composites exhibit direction-dependent response and complex failure mechanisms such as cracking of the matrix phase, debonding of fibre and matrix, and even fracture of fibres. Composites under fatigue loading (e.g., a composite wind turbine blade) undergo progressive damage and degradation in material properties. Unlike metals, complete experimental characterisation of fibre-reinforced composites is challenging as their response is direction-dependent and markedly different under tension and compression. Computation models capturing damage and stiffness degradation of composites under fatigue loading are crucial to predict the design lifecycle accurately. This project aims to develop a mechanics-based model for predicting fatigue damage in composites by developing a stress-strain model and coupling it to a finite element framework. Damage parameters will be defined to track the degradation in stiffness properties due to different failure mechanisms. These parameters will be coupled with the stress-strain relation governing the mechanical response of the composite. The student will have the opportunity to learn about composites and failure modes in composites and develop a computational model on MATLAB to study the fatigue response of fibre-reinforced composites.",Harini Subramanian,Apply Here,In Person Mode
IP0IG0000008,Photo-oxidation and C-H activation reactions by organometallic catalysts,"The organometallic catalysts (having Re, Pd or Ir metals) will be screened for photo-oxidation reactions of organic compounds. Such catalysts reported from our group are working efficiently in the visible light and sunlight. Reaction optimization will be performed in varying the parameters of the reaction (like catalyst / light / solvents etc). The thin-layer and column chromatography will also be part of the project to obtain pure project and check the % yield of the product.",Iti Gupta,Apply Here,In Person Mode
IP0JK0000001,Multilingual Practice and Mental Lexicon of Hindi-English Speakers,"Code-mixing, or code-switching, exemplified in (1) and (2), occurs when an utterance contains more than one “code”, or a linguistic variety (such as languages and dialects). Sentences (1) and (2) are the cases of Hindi-English code-switching. In both cases, the overall structure follows Hindi, whereas English vocabulary such as time, staircase, and smelly, appears.",Jooyoung Kim,Apply Here,In Person Mode
,,,,,
,,(1) Kitna time lagega?,,,
,,‘What time is it?’,,,
,,(2) Ye staircase bahut smelly he!,,,
,,‘This staircase is very smelly’,,,
,,,,,
,,"This natural mixture of two linguistic components has been viewed as creating ‘a third space (Bhatt 2008)’ and a ‘translingual turn (García & Li, 2014)’ in linguistics. Especially, the mixed code of English and Indian languages, or “Inglish”, is a common phenomenon across India.",,,
,,,,,
,,"This phenomenon has raised interest in (i) the cognitive processing of multiple languages during code-mixing and even asked a fundamental question about the reality of language. The proposed summer project (2024) focuses on the levels, aspects, and depth of multilingualism practiced by Indian youth in virtual spaces such as social media and blogs. My current scope is on the Hindi-English situation, but there is a possible expansion to other multilingual contexts. The project will have two phases. First, data collection takes place to capture representative loanwords, borrowing, and cod-switching cases among Hindi-English bilinguals. Next, the potential separation in their cognitive perception through brain imaging under the concepts of language control and switch cost. This research will shed light to the Hindi-English mental lexicon practiced in India.",,,
IP0JM0000025,ML specific Hardware accelerator design,"AI has penetrated in almost every sphere of human life, be it health, finance, entertainment, etc. With ever-growing demands to meet several demands we anticipate AI algorithms to keep evolving. To keep pace with these AI algorithms, it is imperative to design hardware that are specifically designed and optimized to handle ML. This project is geared toward this goal. Students are expected to have prior knowledge of Digital Systems, VLSI, Computer Organzation, and ML.",Joycee Mekie,Apply Here,In Person Mode
IP0JM0000026,Hardware-Software co-design of Accelerators for ML applications,"AI has penetrated in almost every sphere of human life, be it health, finance, entertainment, etc. With ever-growing demands to meet several demands we anticipate AI algorithms to keep evolving. To keep pace with these AI algorithms, it is imperative to design, model, analyse hardware that are specifically designed and optimized to handle ML. This project is geared toward this goal. Students are expected to have prior knowledge of Digital Systems, Computer Organzation, and ML, and exposure to Python and Verilog.",Joycee Mekie,Apply Here,In Person Mode
IP0JM0000027,Hybrid Computing In Memory architecture design,"This project involves analyzing analog and digital Computing In Memory architectures to compare and contrast them and find a hybrid solution that can benefit from both analog and digital implementations. Finally, we should be able to propose a hybrid CIM which has both analog and digital combined. The students interested in this project should have done courses on digital systems, analog circuits, VLSI design, etc. and should have done Spice level simulations.",Joycee Mekie,Apply Here,In Person Mode
IP0JM0000028,Automating Circuit synthesis using Generative AI,"This project involves using Generative AI (like ChatGPT) to help design, test and synthesize digital circuits written in Verilog. We also would like to automate the process of testing using Generative AI.",Joycee Mekie,Apply Here,In Person Mode
IP0JS0100005,3. Simulation of GaN-based High electron mobility transistor (HEMT) for high power and high frequency applications,"The main objective of this project is to perform consistent simulations on GaN-based HEMT heterostructures. The emphasis is given on designing of the structure for high power and high frequency applications. Through the project, the student will develop a solid background on GaN based HEMT devices and acquire useful software skills.",Jhuma Saha,Apply Here,In Person Mode
IP0JS0100006,On-chip based single photon source with high brightness and spectral purity,The objective would be to understand the underlying operating principle of single photon source (SPS). And to design the structure of quantum-dot based SPS and perform FDTD simulations in order to optimize the structure.,Jhuma Saha,Apply Here,In Person Mode
IP0JS0100007,Synthesis of quantum dots (QDs) for biomedical applications,"With the increasing demand for miniaturized devices, several nanoparticles are used in applications like bio-imaging, bio-sensing, immunoassays, and many more. Quantum dots (QDs) have emerged as a promising medical industry tool based on their excellent optical properties. This interdisciplinary experimental work aims to optimize the synthesizing techniques to achieve homogenous nanoparticles. Several structural and material characterizations will be carried out to examine the unique properties furnished by the QDs.",Jhuma Saha,Apply Here,In Person Mode
IP0JT0000007,"Existence, uniqueness and qualitative theorems in ODEs",We study the existence and uniqueness of solutions to ordinary differential equations (ODEs). We also discuss the Sturm-Picone comparison theorem for a pair of nonlinear differential equations.,Jagmohan Tyagi,Apply Here,In Person Mode
IP0KKD0000006,Influence of non-thermal active fluctuations over colloidal dynamics under crowded conditions,"The project focuses on investigating the impact of non-thermal active fluctuations on colloidal dynamics within densely packed environments. Prospective students should possess a strong background in colloid science, statistical mechanics, and experimental techniques. The anticipated expertise includes proficiency in microscopy, particle tracking, and a solid understanding of both theoretical and practical aspects of non-equilibrium statistical physics.",Krishna Kanti Dey,Apply Here,In Person Mode
IP0KKD0000007,Microbubbles as Active Matter,"The project centers on the exploration of microbubbles as active matter, focusing on their dynamic and responsive behavior. It involves studying how these microbubbles can be manipulated and harnessed for various applications, such as drug delivery or environmental remediation. Prospective students are expected to have a background in fluid dynamics, materials science, or a related field. Anticipated expertise includes experimental techniques in microfluidics, imaging technologies, and a strong grasp of the principles behind active matter and its applications.",Krishna Kanti Dey,Apply Here,In Person Mode
IP0KKD0000008,Harnessing Active Matter Dynamics in Modulating Intracellular Transport and Delivery,"The project focuses on utilizing active matter dynamics to modulate intracellular transport and enhance delivery processes. It aims to understand and manipulate the dynamic behavior of active materials for improved efficiency in cellular transport mechanisms, potentially impacting drug delivery strategies. Prospective students are expected to have a background in biophysics, cell biology, or related fields, with expertise in experimental techniques such as live-cell imaging and micro/nanotechnology for drug delivery. Strong analytical and interdisciplinary skills are essential for addressing the complex dynamics at the intersection of physics and biology.",Krishna Kanti Dey,Apply Here,In Person Mode
IP0KPM0000009,Low cost EEG device,The project is about creating a wearable EEG device for measuring brain signals,Krishna Prasad Miyapuram,Apply Here,In Person Mode
IP0KPM0000010,Brain computer interface,"The project involves EEG based experimental design, data collection, and analysis",Krishna Prasad Miyapuram,Apply Here,In Person Mode
IP0KR0000003,Augmented reality and Virtual reality for molecular modeling,"Molecular simulations use computer programs to simulate systems at molecular scale. They find several applications in development of new chemical processes, pharmaceutical products, and materials development. Visualization of results obtained from molecular simulations can provide useful insights into the molecular-scale phenomena. Advances in AR and VR are well suited for visualization of data obtained from molecular simulations, as well as teaching about such algorithms.",Kaustubh Rane,Apply Here,In Person Mode
,,,,,
,,The interns will work with the group of Kaustubh Rane to create AR/VR applications to visualize the molecular simulation-results.,,,
IP0KRJ0000003,Dynamic analysis of drop landing of Lunar/Martian lander,"For interplanetary exploration, landers are used to carry scientific instruments, rovers, communication equipment etc. These landers are inserted into the orbit and they are gradually lowered to the planetary surface. However, the final phase of landing is quite crucial since it is usually a dead drop and seldom a soft landing. Further the lander has 3/4 landing gears on which it rests/lands. But, depending on the topology of the landing site, only 1/2 legs might come into contact resulting in higher dynamical loads on one leg and tumbling of the lander and the scientific equipment. The current study would consider a rigid body dynamic analysis of the lander and look at strategies to reduce and dampen the vibrations. The study would consider proposing different landing gear designs to reduce dynamic loads on the lander structure and the equipment thereof",K R Jayaprakash,Apply Here,In Person Mode
IP0KRJ0000004,Structural dynamics of composite foot for Lunar/Martian lander,"For interplanetary exploration, landers are used to carry scientific instruments, rovers, communication equipment etc. These landers are inserted into the orbit and they are gradually lowered to the planetary surface. However, the final phase of landing is quite crucial since it is usually a dead drop and seldom a soft landing. Further the lander has 3/4 landing gears on which it rests/lands. But, depending on the topology of the landing site, only 1/2 legs might come into contact resulting in higher dynamical loads on one leg and tumbling of the lander and the scientific equipment. The current study would consider the structural dynamics of the composite lander foot and look at strategies to reduce and dampen the vibrations. The study would consider proposing different material configurations to reduce dynamic loads on the lander structure",K R Jayaprakash,Apply Here,In Person Mode
IP0KSP0000005,Expression of proteins to generate biopolymers,"Biopolymers are natural polymers with diverse applications in various industries, including medicine, agriculture, and materials science. The ""Expression of Proteins for Biopolymer Generation"" project aims to harness the power of genetic engineering to produce biopolymers through the controlled expression of specific proteins. This project focuses on the development of a robust and scalable system for producing biopolymers with desirable properties through the expression of carefully selected proteins.",Karthik Subramaniam Pushpavanam,Apply Here,In Person Mode
IP0KSP0000006,Development of microfluidic device for biomanufacturing of vaccines,"The ""Development of Microfluidic Device for Biomanufacturing of Vaccines"" project aims to leverage microfluidics to produce vaccines. Microfluidics involves the precise control and manipulation of fluids on a small scale, and this project focuses on creating a sophisticated microfluidic platform for the efficient and scalable biomanufacturing of vaccines. The integration of microfluidic devices into the vaccine production process holds the potential to enhance speed, flexibility, and cost-effectiveness, addressing current challenges in vaccine manufacturing.",Karthik Subramaniam Pushpavanam,Apply Here,In Person Mode
IP0KSTC000001,Investigation of the use of bio-based additives in concrete,"India generates about 500 million tonnes of agricultural waste every year. There has been an extensive work on using agro-waste-based supplementary cementitious materials such as sugarcane bagasse ash and rice husk ash in concrete. However, other types of agro-waste usage in concrete have not been explored much. The focus of this project will be the evaluation of other types of bio-based additives derived from agricultural waste for their use in concrete.",K. Siva Teja Chopperla,Apply Here,In Person Mode
IP0KTS0000011,Developing an Application to Manage Document Delivery Service,"IIT Gandhinagar has nearly 2500 active users of the library services. As a part of this service library is providing Document Delivery Service (DDS) to these users for the documents which are not available in the IITGN library. To handle this entire workflow, an application has been developed using HTML, CSS, Bootstrap framework, JavaScript, jQuery, PHP and MySQL. As there some changes in the workflow and tools have also undergone changes, therefore it is proposed that this application has to be modified or redeveloped using most suitable and latest tools so that the application become robust and runs for at least next 5-6 years.",Kumbar T S,Apply Here,In Person Mode
IP0KTS0000012,Developing a Mobile App for Accessing Library Resource and Services,"IIT Gandhinagar has a library app which is basically an android app developed for providing ease in accessing library resource and services. Till now, it is developed only for android platform. This has been developed using the following tools.",Kumbar T S,Apply Here,In Person Mode
,,• Android IDE (Android Studio),,,
,,• Java JDK,,,
,,• Java Runtime Environment,,,
,,• Android SDK,,,
,,• Adobe Photoshop (for designing icon),,,
,,•Android Virtual Device (AVD),,,
,,,,,
,,We propose to have a new application developed using latest tools to work on both Android and iOS mobile devices.,,,
IP0LL0000012,Tactile Hallucinations in Schizophrenia and Healthy Subjects,Subjects will perform experiments to understand the nature of altered sensory processing in schizophrenia,Leslee Lazar,Apply Here,In Person Mode
IP0LL0000013,Influence of language on tactile perception,This project studies the effect of language on perception. We aim to develop and conduct experiments across cultural/linguistic groups.,Leslee Lazar,Apply Here,In Person Mode
IP0LL0000014,Developing Artificial Touch Paradigms,"We are interested in developing pseudo-haptic approaches to give tactile experiences through vision, sound or other modalities.",Leslee Lazar,Apply Here,In Person Mode
IP0MB0000001,POC/Prototyping of Pneumatic Hand Glove for Finger Joint Rehabilitation,Project Description: Design and Develop a flexible hand glove using advanced materials i.e. silicone resins for comfort and mobility during rehabilitation. Implement pneumatic technology to provide customizable resistance and assistance for targeted finger joint exercises. Create a user-friendly interface for adjusting pneumatic pressure levels to accommodate various rehabilitation stages. Design the glove to be portable and easy to use for both clinical and home-based rehabilitation.,Maker Bhavan,Apply Here,In Person Mode
,,,,,
,,"The project will encompass the following key areas: Material selection and development for flexibility, durability, and comfort. Integration of pneumatic chambers with sensors for real-time pressure adjustment. User interface development for intuitive control and monitoring. Prototyping and testing for efficacy and usability.",,,
,,,,,
,,Expected Outcomes: A flexible hand glove prototype which is able to do natural movement and provides comfort during rehabilitation. Integration of pneumatic techniques for tailored resistance and assistance based on individual needs. Improved rehabilitation outcomes through targeted and customizable finger joint exercises. User-friendly interface for ease of use and accessibility.,,,
,,,,,
,,Pre-requisites: Interdisciplinary,,,
,,,,,
,,"Material science, CAD design, Electronics, Programming, 3D Printing, Flexible Material Science and Engineering, Mechatronics, Robotics, Biomedical Engineering. External input from medical professionals and rehabilitation specialists will be sought throughout the project.",,,
IP0MB0000002,Automated Guided Vehicle for Lab Environment,"This project focuses on the design and development of an Autonomous Guided Vehicle (AGV) tailored for laboratory environments. The AGV will possess advanced navigation capabilities, including autonomous navigation, obstacle avoidance, and precise load carrying capacity of up to 10 kg. It will be equipped with sensors such as LiDAR, cameras, and proximity sensors for environment perception, allowing for safe and efficient movement within the lab space. Additionally, the AGV will feature a robust mechanical structure optimized for stability, manoeuvrability, and load-bearing capacity, ensuring seamless transportation of tools and items within the laboratory.",Maker Bhavan,Apply Here,In Person Mode
,,,,,
,,Expected Outcomes:,,,
,,1. Development of a fully functional AGV prototype capable of autonomous navigation and obstacle avoidance in laboratory environments.,,,
,,"2. Implementation of advanced algorithms for mapping, localization, path planning, and obstacle avoidance to ensure safe and efficient movement.",,,
,,3. Integration of sensors and perception systems for accurate environment mapping and navigation.,,,
,,4. Demonstration of the AGV's ability to carry loads up to 10 kg and effectively transport tools and items within the lab space.,,,
,,"5. Creation of a user-friendly interface for remote monitoring and control of the AGV, enhancing usability and accessibility for laboratory personnel.",,,
,,,,,
,,Pre-requisites: Interdisciplinary,,,
,,"Proficiency in mechanical design and fabrication techniques. Knowledge of sensor integration and LiDAR, cameras, and proximity sensors for environment perception. Familiarity with algorithms for autonomous navigation, obstacle detection, and avoidance, such as SLAM (Simultaneous Localization and Mapping).",,,
IP0MJ0000018,Research and development of Chemistry experiments for STEM education,"Conduct research, design experiment setups and develop STEM education activities on various chemistry topics such as acid base chemistry, electrochemical cell, combustion reactions.",Manish Jain,Apply Here,In Person Mode
IP0MJ0000019,Development of Microscale chemistry experiments for STEM education,Research and conduct microscale chemistry experiments which utilize minute amounts of chemicals that can be done easily in schools. The activities will be added to chemistry kits that will reach school students and teachers across India.,Manish Jain,Apply Here,In Person Mode
IP0MJ0000020,Exploration and Documentation of IITGN Biodiversity,"Explore and study the flora and fauna at/around the IIT Gandhinagar (IITGN)campus and document them (iNaturalist app, photos, videos, documents). This also includes the documentation of inter-species relationships. Based on this work, we will conduct nature walks for the students and faculty members of IITGN to pilot the CCL IITGN Naturalist Club. You will be guided by a National Geographic Explorer and a self-trained naturalist who also has research experience in insect taxonomy from Israel and has discovered new insect species.",Manish Jain,Apply Here,In Person Mode
IP0MJ0000021,"Engaging the interns in performing, observing, and documenting indoor biological experiments","Research, test and document indoor biological experiments to create modules for a hands-on biology curriculum for school teachers and students. Broadly, these experiments will cover plant physiology, cell biology, and insect behavior. You will be guided by a National Geographic Explorer and a self-trained naturalist who also has research experience in insect taxonomy from Israel and has discovered new insect species.",Manish Jain,Apply Here,In Person Mode
IP0MJ0000022,Design of Integrated STEM Education Games/Toys Kits for Grades 6-8,"The core objective will be to design Science, Technology, Engineering and Maths (STEM) toys that integrate the above-mentioned subjects, and cater to the curriculum requirements of grades 6th-8th (largely CBSE/NCERT curriculum). This may need to design toys/games/activities from scratch or redesign of the existing toys/activities/games for effective STEM integration. Prospective interns will work with a Product Designer at CCL and carry out their design and development tasks using the resources available at the campus.",Manish Jain,Apply Here,In Person Mode
